id,hotel_name,marks,city,satisfaction,reviews,price,distances,descriptions,stars,breakfast
6782,Efeso 19,9.7,Ostiense,Exceptional,103,434,4.7,Deluxe Double Room with Balcony,3,Breakfast included
6783,NAVONA VITA SUITES,8.9,Navona,Excellent,111,626,1,Deluxe Single Room,4,Not included
6784,Hotel Villa Pamphili Roma,8.6,Rome,Excellent,1642,824,4.4,Superior Double or Twin Room with Terrace,4,Breakfast included
6785,Luxury Ripetta 2,8.5,Spagna,Very Good,743,455,1.6,Superior Double Room,3,Not included
6786,Residenza RomaCentro,9,ViaVeneto,Wonderful,368,475,1.5,Double Room,4,Not included
6787,Babuino 181 - Small Luxury Hotels of the World,8.7,Spagna,Excellent,395,1084,1.5,Standard Double Room,4,Not included
6788,Aventino Guest House,8.7,Aventino,Excellent,515,311,1.6,Single Room,3,Not included
6789,NH Roma Villa Carpegna,8.1,Aurelio,Very Good,1968,406,3.6,Single Room,4,Not included
6790,Tempo Lento,9.1,SanGiovanni,Wonderful,175,461,2.9,Double or Twin Room with Private Bathroom,3,Not included
6791,B&B Isolatiberina,8.2,Trastevere,Very Good,450,439,1,Double or Twin Room with Private Bathroom,3,Breakfast included
6792,Domus Santa Caterina,8.4,CentralStation,Very Good,460,345,2.2,Double or Twin Room,3,Not included
6793,Rome Central Inn,8,VillaBorgheseParioli,Very Good,145,400,1.9,Economy Double Room,3,Not included
6794,Hotel Eliseo,7.2,ViaVeneto,Good,406,393,1.5,Single Room,4,Breakfast included
6795,Rooms Monteverde,8.1,Gianicolense,Very Good,121,237,4.2,Double Room,3,Breakfast included
6796,san cosimato suite,7.7,Trastevere,Good,268,387,1.4,Double Room,3,Not included
6797,Chez Liviana,8,CentralStation,Very Good,293,321,1.4,Single Room with Bathroom,3,Not included
6798,Jazz Style,9.1,SanGiovanni,Wonderful,307,415,2.5,Double Room,4,Breakfast included
6799,B&B All'Orologio,9.2,Navona,Wonderful,173,625,1.3,Deluxe Room,4,Not included
6800,La Lupa in Trastevere,8,Portuense,Very Good,62,324,2.7,Double Room,3,Breakfast included
6801,Babuino 181 - Small Luxury Hotels of the World,8.7,Spagna,Excellent,395,1084,1.5,Standard Double Room,4,Not included
6802,BoRooms,8.9,VaticanoPrati,Excellent,137,434,1.9,Twin Room with Private External Bathroom,3,Not included
6803,NiceToMeetYou,7.4,CentralStation,Good,239,298,1.8,Standard Double or Twin Room,3,Breakfast included
6804,Bdb Luxury Rooms San Pietro,7.9,Rome,Good,135,675,3.5,Double Room,3,Not included
6805,Demi's home,8.9,VaticanoPrati,Excellent,104,365,2.7,Double Room,3,Not included
6806,Les Fleurs Luxury House,8.9,Spagna,Excellent,441,608,1.1,Deluxe Double Room,4,Not included
